cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,site_position_time,mono_drive_rate,mono_release_time,tp_release_time,tower_section_fasten_time,tower_section_release_time,tower_section_attach_time,nacelle_fasten_time,nacelle_release_time,nacelle_attach_time,blade_fasten_time,blade_release_time,blade_attach_time,location
,WTIV,Delay,5.0,52083.33333333333,ACTION,439.7625409805655,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Jackup,5.416666666666667,56423.61111111111,ACTION,445.1792076472322,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,446.1792076472322,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Delay,7.0,72916.66666666666,ACTION,453.1792076472322,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Release Monopile,10.0,104166.66666666666,ACTION,463.1792076472322,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,463.90227318256,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,463.90552318256,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,464.90552318256,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Drive Monopile,1.2,12499.999999999998,ACTION,466.10552318256,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Release Transition Piece,10.0,104166.66666666666,ACTION,476.10552318256,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,477.10552318256,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,478.10552318256,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,482.10552318256,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Jackdown,5.416666666666667,56423.61111111111,ACTION,487.52218984922666,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Position Onsite,50.0,520833.3333333333,ACTION,537.5221898492266,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Jackup,5.416666666666667,56423.61111111111,ACTION,542.9388565158932,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,543.9388565158932,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Release Monopile,10.0,104166.66666666666,ACTION,553.9388565158932,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,554.661922051221,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,554.665172051221,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,555.665172051221,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Drive Monopile,1.2,12499.999999999998,ACTION,556.8651720512211,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Release Transition Piece,10.0,104166.66666666666,ACTION,566.8651720512211,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,567.8651720512211,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,568.8651720512211,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,572.8651720512211,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Jackdown,5.416666666666667,56423.61111111111,ACTION,578.2818387178877,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Position Onsite,50.0,520833.3333333333,ACTION,628.2818387178877,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Jackup,5.416666666666667,56423.61111111111,ACTION,633.6985053845543,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,634.6985053845543,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Release Monopile,10.0,104166.66666666666,ACTION,644.6985053845543,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,645.4215709198821,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,645.4248209198821,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,646.4248209198821,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Drive Monopile,1.2,12499.999999999998,ACTION,647.6248209198822,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Release Transition Piece,10.0,104166.66666666666,ACTION,657.6248209198822,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,658.6248209198822,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,659.6248209198822,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,663.6248209198822,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Jackdown,5.416666666666667,56423.61111111111,ACTION,669.0414875865488,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Position Onsite,50.0,520833.3333333333,ACTION,719.0414875865488,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Jackup,5.416666666666667,56423.61111111111,ACTION,724.4581542532154,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,725.4581542532154,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Release Monopile,10.0,104166.66666666666,ACTION,735.4581542532154,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,736.1812197885432,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,736.1844697885432,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,737.1844697885432,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Drive Monopile,1.2,12499.999999999998,ACTION,738.3844697885432,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Release Transition Piece,10.0,104166.66666666666,ACTION,748.3844697885432,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,749.3844697885432,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,750.3844697885432,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,754.3844697885432,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Jackdown,5.416666666666667,56423.61111111111,ACTION,759.8011364552099,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Transit,43.24324324324324,450450.4504504504,ACTION,803.0443796984531,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,815.0443796984531,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,823.0443796984531,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,835.0443796984531,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,843.0443796984531,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,855.0443796984531,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,863.0443796984531,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,875.0443796984531,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,883.0443796984531,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Delay,2.0,20833.333333333332,ACTION,885.0443796984531,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,897.0443796984531,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,905.0443796984531,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,917.0443796984531,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,925.0443796984531,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Transit,43.24324324324324,450450.4504504504,ACTION,968.2876229416963,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Position Onsite,50.0,520833.3333333333,ACTION,1018.2876229416963,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Jackup,5.416666666666667,56423.61111111111,ACTION,1023.704289608363,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,1024.704289608363,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Release Monopile,10.0,104166.66666666666,ACTION,1034.704289608363,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,1035.4273551436909,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,1035.4306051436909,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,1036.4306051436909,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Drive Monopile,1.2,12499.999999999998,ACTION,1037.630605143691,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Release Transition Piece,10.0,104166.66666666666,ACTION,1047.630605143691,MonopileInstallation,,,,,,,,,,,,,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,1048.630605143691,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,1049.630605143691,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,1053.630605143691,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Jackdown,5.416666666666667,56423.61111111111,ACTION,1059.0472718103576,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,50.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5,
,WTIV,Position Onsite,50.0,520833.3333333333,ACTION,1109.0472718103576,MonopileInstallation,,,,,,,,,,,,,,,,,,
